ops,ano,falt_total,falt_cont,falt_ind,falt_ind_modelo,cols_total,cols_cont,cols_ind,cols_ind_modelo,perc_total,perc_cont,perc_ind,perc_ind_modelo
nan,2001,89,51,38,36,96,51,45,43,0.9270833333333334,1.0,0.8444444444444444,0.8372093023255814
302856.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
315257.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
331970.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
350605.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
400530.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
402061.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
405728.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
407801.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
411370.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
412066.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
412571.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
413658.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
414123.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
414166.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
414328.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
414395.0,2001,63,32,31,30,96,51,45,43,0.65625,0.6274509803921569,0.6888888888888889,0.6976744186046512
404578.0,2001,62,32,30,29,96,51,45,43,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
412473.0,2001,62,32,30,29,96,51,45,43,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
413178.0,2001,62,32,30,29,96,51,45,43,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
414042.0,2001,62,32,30,29,96,51,45,43,0.6458333333333334,0.6274509803921569,0.6666666666666666,0.6744186046511628
364096.0,2001,61,32,29,28,96,51,45,43,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
403806.0,2001,61,32,29,28,96,51,45,43,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
404284.0,2001,61,32,29,28,96,51,45,43,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
412406.0,2001,61,32,29,28,96,51,45,43,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
413062.0,2001,61,32,29,28,96,51,45,43,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
413909.0,2001,61,32,29,28,96,51,45,43,0.6354166666666666,0.6274509803921569,0.6444444444444445,0.6511627906976745
301736.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
309834.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
312665.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
320579.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
335771.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
352039.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
357880.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
379344.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
400491.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
402940.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
403717.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
403989.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
404721.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
404861.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
407976.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
408301.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
408743.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
409928.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
410021.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
411442.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
414140.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
414221.0,2001,60,32,28,27,96,51,45,43,0.625,0.6274509803921569,0.6222222222222222,0.627906976744186
316768.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
320528.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
330558.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
331406.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
338028.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
341134.0,2001,59,32,27,26,96,51,45,43,0.6145833333333334,0.6274509803921569,0.6,0.6046511627906976
