y_true,y_hat,ops
0.431,0.393,300012
0.431,0.393,300080
0.431,0.396,300136
0.431,0.393,300195
0.431,0.394,300284
0.431,0.398,300292
0.431,0.393,300365
0.627,0.399,300420
0.431,0.395,300683
0.431,0.396,300713
0.431,0.394,300730
0.431,0.403,300748
0.431,0.393,300764
0.431,0.403,300870
0.431,0.393,300896
0.431,0.401,300926
0.431,0.393,300951
0.431,0.399,301043
0.431,0.398,301060
0.431,0.393,301086
0.431,0.394,301124
0.431,0.393,301213
0.431,0.399,301299
0.431,0.398,301311
0.431,0.44,301337
0.431,0.395,301396
0.431,0.398,301574
0.431,0.393,301591
0.431,0.393,301647
0.431,0.393,301728
0.627,0.399,301736
0.431,0.397,301744
0.431,0.399,301850
0.431,0.398,301906
0.431,0.396,301949
0.431,0.393,301973
0.431,0.396,302091
0.431,0.393,302147
0.431,0.399,302228
0.431,0.394,302490
0.431,0.394,302511
0.431,0.409,302627
0.431,0.398,302694
0.627,0.399,302856
0.431,0.484,302872
0.431,0.394,302881
0.431,0.395,302902
0.431,0.392,302953
0.431,0.393,303020
0.431,0.393,303089
0.431,0.395,303178
0.431,0.393,303259
0.431,0.398,303267
0.431,0.393,303291
0.431,0.401,303356
0.431,0.394,303364
0.431,0.399,303569
0.431,0.395,303585
0.431,0.404,303623
0.431,0.394,303691
0.431,0.395,303739
0.431,0.394,303844
0.431,0.42,303976
0.431,0.397,304034
0.431,0.396,304051
0.431,0.396,304107
0.431,0.395,304123
0.431,0.394,304131
0.431,0.394,304158
0.431,0.396,304212
0.431,0.396,304344
0.431,0.397,304395
0.431,0.399,304409
0.431,0.393,304441
0.431,0.393,304468
0.431,0.394,304476
0.431,0.394,304484
0.431,0.394,304522
0.431,0.395,304531
0.431,0.399,304590
0.431,0.397,304638
0.431,0.426,304662
0.431,0.726,304697
0.431,0.444,304701
0.431,0.393,304859
0.431,0.396,304883
0.431,0.399,304956
0.431,0.396,305227
0.431,0.393,305243
0.431,0.401,305316
0.431,0.393,305421
0.431,0.395,305472
0.431,0.494,305600
0.431,0.401,305626
0.431,0.393,305740
0.431,0.393,305774
0.431,0.395,305791
0.431,0.393,305928
0.431,0.396,305995
0.431,0.398,306045
0.431,0.397,306100
0.431,0.399,306126
0.431,0.396,306193
0.431,0.393,306207
0.431,0.394,306347
0.431,0.402,306355
0.431,0.403,306398
0.431,0.398,306428
0.431,0.393,306444
0.431,0.441,306622
0.431,0.399,306631
0.431,0.395,306649
0.431,0.399,306665
0.431,0.393,306711
0.431,0.393,306754
0.431,0.395,306762
0.431,0.393,306771
0.431,0.396,306886
0.431,0.393,306932
0.431,0.397,306959
0.431,0.399,307220
0.431,0.399,307319
0.431,0.393,307351
0.431,0.396,307408
0.431,0.396,307696
0.431,0.399,307751
0.431,0.393,307815
0.431,0.395,308005
0.431,0.393,308081
0.431,0.393,308111
0.431,0.399,308129
0.431,0.393,308277
0.431,0.398,308421
0.431,0.393,308684
0.431,0.396,308811
0.431,0.393,308960
0.431,0.393,309028
0.431,0.397,309087
0.431,0.393,309168
0.431,0.396,309192
0.431,0.393,309214
0.431,0.409,309222
0.431,0.394,309231
0.431,0.393,309257
0.431,0.396,309338
0.431,0.394,309401
0.431,0.393,309427
0.431,0.393,309516
0.431,0.395,309524
0.431,0.399,309681
0.431,0.393,309699
0.431,0.399,309711
0.627,0.399,309834
0.431,0.393,309877
0.431,0.394,309907
0.431,0.393,309958
0.431,0.397,310018
0.431,0.394,310042
0.431,0.393,310085
0.431,0.399,310107
0.431,0.394,310131
0.431,0.394,310166
0.431,0.393,310239
0.431,0.407,310247
0.431,0.393,310280
0.431,0.394,310301
0.431,0.41,310344
0.431,0.4,310361
0.431,0.393,310581
0.431,0.399,310824
0.431,0.393,310841
0.431,0.395,310859
0.431,0.395,310891
0.431,0.397,310964
0.431,0.396,310981
0.431,0.394,311057
0.431,0.394,311146
0.431,0.399,311162
0.431,0.395,311294
0.431,0.398,311359
0.431,0.398,311375
0.431,0.398,311391
0.431,0.398,311405
0.431,0.394,311472
0.431,0.396,311481
0.431,0.398,311499
0.431,0.398,311618
0.431,0.399,311634
0.431,0.393,311669
0.431,0.393,311677
0.431,0.393,311693
0.431,0.397,311715
0.431,0.402,311847
0.431,0.393,311928
0.431,0.396,311944
0.431,0.41,311961
0.431,0.401,312029
0.431,0.399,312134
0.431,0.395,312282
0.431,0.399,312304
0.431,0.393,312321
0.431,0.396,312347
0.431,0.396,312363
0.431,0.393,312461
0.431,0.393,312509
0.431,0.397,312525
0.431,0.395,312592
0.431,0.393,312649
0.627,0.398,312665
0.431,0.395,312720
0.431,0.394,312762
0.431,0.4,312851
0.431,0.393,312908
0.431,0.399,312924
0.627,0.399,313041
0.431,0.394,313084
0.431,0.395,313149
0.431,0.393,313165
0.431,0.403,313211
0.431,0.397,313220
0.431,0.393,313378
0.431,0.393,313475
0.431,0.393,313751
0.431,0.393,313807
0.431,0.393,313891
0.431,0.398,313955
0.431,0.394,313971
0.431,0.395,314099
0.431,0.395,314102
0.431,0.399,314170
0.431,0.394,314218
0.431,0.395,314242
0.431,0.394,314251
0.431,0.393,314315
0.431,0.393,314366
0.431,0.4,314561
0.431,0.398,314587
0.431,0.395,314609
0.431,0.399,314668
0.431,0.393,314692
0.431,0.393,314706
0.431,0.399,314757
0.431,0.396,314781
0.431,0.393,314871
0.431,0.399,314889
0.431,0.399,315095
0.627,0.399,315257
0.431,0.394,315265
0.431,0.393,315371
0.431,0.396,315494
0.431,0.396,315516
0.431,0.395,315567
0.431,0.399,315583
0.431,0.399,315591
0.431,0.393,315630
0.431,0.396,315648
0.431,0.393,315681
0.431,0.404,315729
0.431,0.398,315761
0.431,0.399,315770
0.431,0.403,315796
0.431,0.393,315818
0.431,0.393,315893
0.431,0.396,316148
0.431,0.397,316172
0.431,0.397,316296
0.431,0.394,316326
0.431,0.393,316458
0.431,0.398,316491
0.431,0.398,316695
0.627,0.399,316768
0.431,0.393,316857
0.431,0.397,316873
0.431,0.398,316881
0.431,0.393,316903
0.431,0.394,316920
0.431,0.397,316971
0.431,0.393,316997
0.431,0.396,317012
0.431,0.438,317144
0.431,0.396,317187
0.431,0.393,317233
0.431,0.395,317250
0.431,0.397,317306
0.431,0.392,317403
0.431,0.399,317462
0.431,0.396,317501
0.431,0.396,317632
0.431,0.393,317772
0.431,0.398,317837
0.431,0.395,317896
0.431,0.399,317951
0.431,0.396,318027
0.431,0.396,318035
0.431,0.394,318213
0.431,0.393,318221
0.431,0.394,318230
0.431,0.396,318299
0.431,0.393,318329
0.431,0.396,318388
0.431,0.393,318477
0.431,0.395,318558
0.431,0.396,318566
0.431,0.393,318671
0.431,0.399,318728
0.431,0.393,318744
0.431,0.396,318906
0.431,0.393,319121
0.431,0.399,319139
0.431,0.402,319147
0.431,0.4,319180
0.431,0.393,319236
0.431,0.395,319350
0.431,0.393,319368
0.431,0.395,319384
0.431,0.405,319422
0.431,0.397,319546
0.431,0.393,319597
0.431,0.393,319635
0.431,0.393,319694
0.431,0.401,319708
0.431,0.393,319872
0.431,0.414,319996
0.431,0.399,320111
0.431,0.397,320251
0.431,0.398,320269
0.431,0.396,320510
0.627,0.399,320528
0.627,0.399,320579
0.431,0.396,320684
0.431,0.401,320706
0.431,0.393,320790
0.431,0.399,320838
0.431,0.397,320862
0.431,0.394,320889
0.431,0.395,320897
0.431,0.399,320960
0.431,0.395,321036
0.431,0.421,321044
0.431,0.395,321087
0.431,0.394,321095
0.431,0.393,321109
0.431,0.395,321125
0.431,0.403,321273
0.431,0.393,321320
0.431,0.393,321338
0.431,0.395,321826
0.431,0.399,321869
0.431,0.393,321877
0.431,0.394,321931
0.431,0.399,321958
0.431,0.398,321991
0.431,0.401,322261
0.431,0.397,322326
0.431,0.393,322393
0.431,0.395,322547
0.431,0.395,322571
0.431,0.394,322717
0.431,0.394,322831
0.431,0.393,322890
0.431,0.393,322903
0.431,0.396,322920
0.431,0.394,322946
0.431,0.396,323004
0.431,0.394,323055
0.431,0.393,323179
0.431,0.398,323233
0.431,0.395,323268
0.431,0.393,323349
0.431,0.395,323357
0.431,0.393,323373
0.431,0.395,323446
0.431,0.398,323632
0.431,0.403,323756
0.431,0.393,323772
0.431,0.396,323811
0.431,0.393,323870
0.431,0.393,323900
0.431,0.396,323926
0.431,0.401,323942
0.431,0.396,323977
0.431,0.397,323993
0.431,0.395,324159
0.431,0.397,324175
0.431,0.394,324205
0.431,0.422,324213
0.431,0.394,324299
0.431,0.394,324345
0.431,0.352,324361
0.431,0.393,324451
0.431,0.399,324477
0.431,0.396,324493
0.431,0.394,324523
0.431,0.394,324566
0.431,0.399,324671
0.431,0.396,324698
0.431,0.393,324710
0.431,0.395,324809
0.431,0.399,324892
0.431,0.396,324914
0.431,0.394,325015
0.431,0.394,325031
0.431,0.395,325074
0.431,0.394,325082
0.431,0.399,325236
0.431,0.542,325252
0.431,0.395,325341
0.431,0.399,325368
0.431,0.393,325465
0.431,0.393,325562
0.431,0.413,325571
0.431,0.399,325759
0.431,0.393,325767
0.431,0.395,325856
0.431,0.393,326046
0.431,0.403,326054
0.431,0.396,326089
0.431,0.457,326305
0.431,0.393,326348
0.431,0.397,326356
0.431,0.398,326500
0.431,0.411,326755
0.431,0.404,326861
0.431,0.396,326933
0.431,0.393,327000
0.431,0.393,327093
0.431,0.418,327107
0.431,0.393,327115
0.431,0.398,327263
0.431,0.393,327328
0.431,0.396,327352
0.431,0.396,327417
0.431,0.396,327441
0.431,0.394,327450
0.431,0.395,327468
0.431,0.393,327492
0.431,0.397,327557
0.431,0.397,327638
0.431,0.404,327689
0.431,0.396,327778
0.431,0.393,327867
0.431,0.418,327999
0.431,0.396,328031
0.431,0.396,328073
